"Elección","Lista/Pacto","Candidato Nombre","Candidato Apellido Paterno","Candidato Apellido Materno","Genero","Partido Politico","Adhiere a Candidato Transparente","Web Site","Facebook","Twitter","Distrito","Comunas"
"Diputado(a)","Chile Vamos","Marcelo ","Zara ","Pizarro","Masculino","Evolución Política","No","","","","1"," - Arica - Camarones - Putre"
"Diputado(a)","Chile Vamos","Patricio ","López","Berrios","Masculino","Renovación Nacional","No","","","","1"," - Arica - Camarones - Putre"
"Diputado(a)","Chile Vamos","Lorena","Jiménez","Watt","Femenino","Partido Regionalista Independiente","No","","","","1"," - Arica - Camarones - Putre"
"Diputado(a)","Chile Vamos","Nino ","Baltolu","Rasera","Masculino","Partido Unión Demócrata Independiente","No","","","","1"," - Arica - Camarones - Putre"
"Diputado(a)","Chile Vamos","Renzo","Trisotti","Martínez ","Masculino","Partido Unión Demócrata Independiente","No","","","","2"," - Alto Hospicio - Camiña - Colchane - Huara - Iquique - Pica - Pozo Almonte"
"Diputado(a)","Chile Vamos","Ramón","Galleguillos","Castillo","Masculino","Renovación Nacional","No","","","","2"," - Alto Hospicio - Camiña - Colchane - Huara - Iquique - Pica - Pozo Almonte"
"Diputado(a)","Chile Vamos","Gabriela","Monsalvez","Rojas","Femenino","Partido Regionalista Independiente","No","","","","2"," - Alto Hospicio - Camiña - Colchane - Huara - Iquique - Pica - Pozo Almonte"
"Diputado(a)","Chile Vamos","Natan","Olivos","Núñez","Masculino","Evolución Política","No","","","","2"," - Alto Hospicio - Camiña - Colchane - Huara - Iquique - Pica - Pozo Almonte"
"Diputado(a)","Chile Vamos","Paulina","Núñez","Urrutia","Femenino","Renovación Nacional","No","","","","3"," - Calama - María Elena - Ollagüe - San Pedro de Atacama - Tocopilla - Antofagasta - Mejillones - Sierra Gorda - Taltal"
"Diputado(a)","Chile Vamos","Pablo","Toloza","Fernández","Masculino","Partido Unión Demócrata Independiente","No","","","","3"," - Calama - María Elena - Ollagüe - San Pedro de Atacama - Tocopilla - Antofagasta - Mejillones - Sierra Gorda - Taltal"
"Diputado(a)","Chile Vamos","Carlos Enrique","López","Vega","Masculino","Partido Regionalista Independiente","No","","","","3"," - Calama - María Elena - Ollagüe - San Pedro de Atacama - Tocopilla - Antofagasta - Mejillones - Sierra Gorda - Taltal"
"Diputado(a)","Chile Vamos","Claudia","Meneses","Oliva","Femenino","Independiente","No","","","","3"," - Calama - María Elena - Ollagüe - San Pedro de Atacama - Tocopilla - Antofagasta - Mejillones - Sierra Gorda - Taltal"
"Diputado(a)","Chile Vamos","Ignacio","León","Cuevas","Masculino","Independiente","No","","","","3"," - Calama - María Elena - Ollagüe - San Pedro de Atacama - Tocopilla - Antofagasta - Mejillones - Sierra Gorda - Taltal"
"Diputado(a)","Chile Vamos","José Miguel","Castro","Bascuñan","Masculino","Renovación Nacional","No","","","","3"," - Calama - María Elena - Ollagüe - San Pedro de Atacama - Tocopilla - Antofagasta - Mejillones - Sierra Gorda - Taltal"
"Diputado(a)","Chile Vamos","René","Aedo","Ormeño","Masculino","Renovación Nacional","No","","","","4"," - Chañaral - Copiapó - Diego de Almagro - Alto del Carmen - Caldera - Freirina - Huasco - Tierra Amarilla - Vallenar"
"Diputado(a)","Chile Vamos","Nicolas","Noman","Garrido","Masculino","Partido Unión Demócrata Independiente","No","","","","4"," - Chañaral - Copiapó - Diego de Almagro - Alto del Carmen - Caldera - Freirina - Huasco - Tierra Amarilla - Vallenar"
"Diputado(a)","Chile Vamos","Carlos","Vílches","Guzmán","Masculino","Partido Unión Demócrata Independiente","No","","","","4"," - Chañaral - Copiapó - Diego de Almagro - Alto del Carmen - Caldera - Freirina - Huasco - Tierra Amarilla - Vallenar"
